hospital,patient_count,total_billing,average_billing,average_age,average_length_of_stay,hospital_rank
Inc Ortiz,2,34851.412635198256,17425.706317599128,71.5,20.5,36
Inc Pace,2,47610.58643063006,23805.29321531503,56.5,16.0,36
Inc Pacheco,2,45364.66353247799,22682.331766238996,44.5,17.5,36
Inc Pearson,2,68417.40763802252,34208.70381901126,56.5,7.0,36
Inc Pineda,2,66321.04249236891,33160.52124618446,71.0,23.5,36
Inc Porter,2,49231.27183019515,24615.635915097577,52.5,23.5,36
Inc Potter,2,23931.870496124116,11965.935248062058,76.5,25.5,36
Inc Rasmussen,2,66875.34742166933,33437.673710834664,64.5,28.0,36
Inc Ray,2,32213.746365266663,16106.873182633331,66.0,22.0,36
Inc Riley,2,63204.103402756315,31602.051701378157,27.5,15.0,36
Inc Rios,2,19093.255405422402,9546.627702711201,67.0,7.0,36
Inc Robbins,2,21904.10038865084,10952.05019432542,48.5,26.0,36
Inc Rojas,2,66377.4893038776,33188.7446519388,79.0,15.0,36
Inc Russell,2,95315.17400627083,47657.58700313541,45.5,16.0,36
Inc Salinas,2,40561.13694326108,20280.56847163054,70.5,13.0,36
Inc Santos,2,25882.948570036715,12941.474285018357,31.0,7.0,36
Inc Sawyer,2,27917.731169519524,13958.865584759762,43.5,8.0,36
Inc Shaw,2,16440.19442714644,8220.09721357322,69.0,19.0,36
Inc Shelton,2,28885.793261218307,14442.896630609153,63.5,12.0,36
Inc Sheppard,2,67221.39493460025,33610.697467300124,82.0,19.5,36
Inc Short,2,80991.2493799226,40495.6246899613,38.0,30.0,36
Inc Silva,2,25251.852993674504,12625.926496837252,37.5,20.0,36
Inc Simmons,2,44377.394243579765,22188.697121789883,44.5,10.5,36
Inc Singh,2,70886.98488006357,35443.49244003178,40.0,12.0,36
Inc Stein,2,57484.71672900098,28742.35836450049,33.5,17.0,36
Inc Stevens,2,84026.97424342211,42013.487121711056,57.5,15.0,36
Inc Sullivan,2,51330.161849184224,25665.080924592112,60.5,14.0,36
Inc Trevino,2,86067.6718855515,43033.83594277575,81.0,8.0,36
Inc Underwood,2,29509.047419173407,14754.523709586703,52.0,7.0,36
Inc Valdez,2,82534.74581113935,41267.372905569675,27.0,20.5,36
Inc Vaughn,2,18208.307095107924,9104.153547553962,44.0,13.5,36
Inc Velasquez,2,91608.16757039998,45804.08378519999,57.5,20.5,36
Inc Walton,2,48062.69618798092,24031.34809399046,55.0,18.5,36
Inc Washington,2,8904.35586252496,4452.17793126248,54.0,11.0,36
Inc Waters,2,48330.32317437992,24165.16158718996,66.5,10.0,36
Inc Watts,2,64788.6284700261,32394.31423501305,36.5,3.5,36
Inc Webb,2,70298.98121173694,35149.49060586847,43.0,24.5,36
Inc Welch,2,54373.47202431658,27186.73601215829,42.0,13.0,36
Inc West,2,46964.09169332032,23482.04584666016,37.0,15.0,36
Inc Zavala,2,66018.1799712328,33009.0899856164,58.5,26.5,36
Ingram Inc,2,65143.1975642804,32571.5987821402,58.5,8.5,36
Ingram Sons and,2,71526.30445191215,35763.15222595607,43.0,17.0,36
Ingram-Lloyd,2,42686.936186475934,21343.468093237967,62.0,12.0,36
Irwin PLC,2,93786.77256973473,46893.38628486737,70.5,7.0,36
Irwin-Vaughn,2,50146.29682844522,25073.14841422261,18.5,30.0,36
"Jackson Banks, and Phillips",2,88475.341823814,44237.670911907,70.0,23.0,36
"Jackson Carrillo, and Sims",2,99729.3913721983,49864.69568609915,61.0,10.0,36
"Jackson Cochran, and Crosby",2,61445.96416176432,30722.98208088216,81.0,6.0,36
"Jackson Collier and Delacruz,",2,1288.7488143202727,644.3744071601363,82.5,9.0,36
"Jackson Long, and Perez",2,88734.21050472344,44367.10525236172,41.0,13.0,36
"Jackson Parks, and Hickman",2,72094.3428531532,36047.1714265766,50.5,6.0,36
"Jackson Roberts, and Randolph",2,64030.00672021718,32015.00336010859,65.5,14.0,36
"Jackson Todd and Castro,",2,64902.18471697736,32451.09235848868,42.5,6.0,36
"Jackson and Coleman, Fowler",2,77716.6460317768,38858.3230158884,81.0,27.0,36
Jackson and Sons,2,53517.81243070646,26758.90621535323,72.0,17.5,36
"Jackson and Wilson, Harris",2,89596.4154546817,44798.20772734085,51.0,27.0,36
"Jackson, Brock and White",2,98705.75305563478,49352.87652781739,21.5,29.0,36
"Jackson, Foley and Klein",2,25705.332721875504,12852.666360937752,76.0,9.0,36
"Jackson, Fowler and Hunt",2,26481.194504869047,13240.597252434523,58.0,8.0,36
"Jackson, and Rose Osborne",2,70357.61208088028,35178.80604044014,53.5,17.0,36
Jackson-Gonzalez,2,67323.55615963117,33661.77807981559,37.5,13.5,36
Jackson-King,2,71282.34865118086,35641.17432559043,54.5,18.5,36
Jackson-Mitchell,2,52974.579418653586,26487.289709326793,54.5,20.0,36
Jackson-Stevens,2,69135.2570091396,34567.6285045698,56.5,15.0,36
Jacobs Ltd,2,52965.5705077517,26482.78525387585,25.0,25.0,36
"Jacobs and Barron, Medina",2,34203.66735584071,17101.833677920356,28.0,2.0,36
Jacobs-Smith,2,46261.41011103989,23130.705055519946,47.5,23.0,36
Jacobs-Thompson,2,58250.877244099145,29125.438622049573,42.5,22.0,36
Jacobson Ltd,2,72227.05751647781,36113.52875823891,41.0,22.0,36
James Group,2,53727.659788303616,26863.829894151808,42.0,26.5,36
"James King and Daugherty,",2,57716.100650215274,28858.050325107637,53.0,1.0,36
"James Vasquez Allen, and",2,17907.738592447207,8953.869296223604,84.0,13.0,36
James and Sons,2,69449.19788618988,34724.59894309494,75.0,24.0,36
"James, Gates Richardson and",2,31229.684884521976,15614.842442260988,73.0,22.0,36
"James, Peterson Jackson and",2,72547.40710512636,36273.70355256318,74.5,29.0,36
"James, and Ryan Leonard",2,26729.45129511138,13364.72564755569,77.5,29.0,36
James-Smith,2,82394.55394160264,41197.27697080132,69.5,12.0,36
Jarvis Group,2,66837.17119336396,33418.58559668198,76.0,13.0,36
Jarvis-Smith,2,35352.68094605358,17676.34047302679,37.5,27.5,36
Jarvis-Wilson,2,41125.405699718925,20562.702849859463,75.5,10.0,36
Jefferson LLC,2,53836.27886835694,26918.13943417847,19.5,15.0,36
Jenkins Inc,2,26128.692640201323,13064.346320100662,39.5,19.0,36
"Jenkins James, Arnold and",2,21570.527516350623,10785.263758175312,59.0,23.0,36
"Jenkins Mccarty Pearson, and",2,93404.29006724198,46702.14503362099,48.0,4.0,36
"Jenkins, Booker Hughes and",2,82628.63338251896,41314.31669125948,71.0,17.0,36
Jenkins-Fernandez,2,53360.97435933866,26680.48717966933,50.5,29.0,36
"Jennings Ali and King,",2,61377.15673214133,30688.578366070666,27.0,13.0,36
Jennings Ltd,2,39609.44423259248,19804.72211629624,69.0,21.5,36
Jennings PLC,2,29529.733883999394,14764.866941999697,71.0,16.5,36
Jennings-Nichols,2,66134.64526914028,33067.32263457014,70.5,22.0,36
Jennings-Smith,2,54724.199325985835,27362.099662992918,35.0,9.0,36
Jensen Ltd,2,69686.68760969964,34843.34380484982,59.5,15.0,36
Jensen PLC,2,50530.6512086961,25265.32560434805,56.5,18.0,36
"Jensen, Mcguire and Brown",2,38285.18251704426,19142.59125852213,52.5,23.0,36
Jensen-Monroe,2,82642.62169470679,41321.310847353394,46.5,20.0,36
Jensen-Moore,2,41479.38619579898,20739.69309789949,65.5,27.0,36
Jensen-Summers,2,27815.83204426846,13907.91602213423,34.0,30.0,36
"Jimenez Patton and Ramirez,",2,77007.82890044064,38503.91445022032,50.0,25.0,36
"Jimenez, Le and Vargas",2,73504.85750529727,36752.42875264864,38.0,26.0,36
Jimenez-Brown,2,25988.85734205332,12994.42867102666,57.5,20.0,36
Jimenez-Huff,2,3611.045611418792,1805.522805709396,26.5,1.0,36
Jimenez-Johnson,2,62861.00817009053,31430.504085045264,56.5,28.0,36
Jimenez-Jones,2,21122.77742315846,10561.38871157923,71.5,29.0,36
Jimenez-Richardson,2,90886.74897745287,45443.37448872643,85.5,13.0,36
Jimenez-Smith,2,28775.647432629594,14387.823716314797,30.0,19.0,36
"Johns, Hammond Vang and",2,30901.355741973955,15450.677870986978,57.0,1.0,36
Johns-Soto,2,65237.48915400982,32618.74457700491,32.5,17.0,36
"Johnson Baker, and Allison",2,30953.932546174936,15476.966273087468,42.5,30.0,36
"Johnson Brooks and Wagner,",2,16528.198693764793,8264.099346882396,29.0,4.0,36
"Johnson Brown, and Malone",2,59501.74950225401,29750.874751127005,24.5,9.0,36
"Johnson Fuller, and Francis",2,92725.91282940021,46362.95641470011,67.5,19.0,36
"Johnson Gibbs Lee, and",2,92986.43787253297,46493.21893626649,46.5,15.0,36
"Johnson Jones and Kennedy,",2,47016.5304818569,23508.26524092845,76.0,13.0,36
"Johnson Mendoza Fernandez, and",2,77317.14973161343,38658.57486580672,24.0,7.0,36
"Johnson Norris Leonard, and",2,11166.444316371098,5583.222158185549,57.0,10.0,36
"Johnson Perkins Chapman, and",2,19142.5269536511,9571.26347682555,32.5,6.0,36
"Johnson Rivas Hernandez, and",2,3540.163996227589,1770.0819981137945,30.5,9.0,36
"Johnson Villarreal and Gomez,",2,12693.911603963967,6346.955801981983,72.0,30.0,36
"Johnson Washington, and Collins",2,64916.11809867634,32458.05904933817,32.5,1.0,36
"Johnson and Dickerson Keller,",2,92822.413160231,46411.2065801155,44.0,10.0,36
"Johnson and Gonzalez Wright,",2,22769.298009570277,11384.649004785138,43.0,28.0,36
"Johnson and Rivera, Allen",2,60201.02187781723,30100.510938908614,80.5,5.0,36
"Johnson and Tucker Perez,",2,10722.253493988446,5361.126746994223,66.5,7.0,36
"Johnson, Adkins and Ferguson",2,95710.69918239223,47855.349591196114,61.5,1.0,36
"Johnson, Baldwin and Cole",2,3977.062371066947,1988.5311855334735,83.5,27.0,36
"Johnson, Burns Gonzales and",2,80010.28187566629,40005.140937833145,24.5,12.0,36
"Johnson, and Petty Rubio",2,75723.0182211927,37861.50911059635,70.5,16.0,36
Johnson-Andrade,2,43725.28935960782,21862.64467980391,19.0,11.0,36
Johnson-Baker,2,15573.311181562374,7786.655590781187,67.0,13.5,36
Johnson-Barrett,2,36811.98927976736,18405.99463988368,28.5,11.0,36
Johnson-Bell,2,22079.728598085632,11039.864299042816,20.0,1.0,36
Johnson-Burns,2,68847.50459238354,34423.75229619177,60.5,20.0,36
Johnson-Campbell,2,42027.53580477185,21013.767902385924,70.5,17.0,36
Johnson-Castaneda,2,46074.588690917844,23037.294345458922,41.0,14.5,36
Johnson-Clark,2,28725.92717144564,14362.96358572282,40.5,19.5,36
Johnson-Cooper,2,53067.4058714759,26533.70293573795,53.5,25.5,36
Johnson-Davis,2,69126.8508842685,34563.42544213425,36.5,25.5,36
Johnson-Fernandez,2,85244.31381348954,42622.15690674477,83.5,8.5,36
Johnson-Fischer,2,14860.625788185316,7430.312894092658,47.0,4.0,36
Johnson-Garcia,2,20163.69679550803,10081.848397754015,58.0,15.5,36
Johnson-Goodwin,2,31403.64654650746,15701.82327325373,84.0,4.0,36
Johnson-Griffin,2,50343.06911592868,25171.53455796434,27.5,12.0,36
Johnson-Harris,2,60565.46400352137,30282.732001760683,30.5,9.0,36
Johnson-Hill,2,43163.63136876568,21581.81568438284,75.5,14.0,36
Johnson-Holland,2,73261.68061181999,36630.840305909995,41.5,8.5,36
Johnson-Hunt,2,51502.42269628962,25751.21134814481,52.0,6.0,36
Johnson-James,2,46052.8778892208,23026.4389446104,51.5,13.0,36
Johnson-Lane,2,57948.99246439048,28974.49623219524,75.5,11.0,36
Johnson-Larson,2,30893.02538427922,15446.51269213961,50.0,20.0,36
Johnson-Lee,2,35902.472249182254,17951.236124591127,52.5,19.0,36
Johnson-Mathis,2,35189.86245165249,17594.931225826243,33.5,19.5,36
Johnson-Mcclure,2,40247.38587988672,20123.69293994336,62.0,20.0,36
Johnson-Mckinney,2,34289.47198257451,17144.735991287256,75.5,8.0,36
Johnson-Miller,2,26514.75120861963,13257.375604309815,67.5,18.5,36
Johnson-Mitchell,2,51833.547162152376,25916.773581076188,60.5,20.5,36
Johnson-Mullen,2,7266.506126289692,3633.253063144846,44.0,25.0,36
Johnson-Nichols,2,29116.380873233826,14558.190436616913,45.0,28.0,36
Johnson-Olson,2,49431.49688360524,24715.74844180262,65.5,5.0,36
Johnson-Patel,2,47940.957614203,23970.4788071015,36.5,28.0,36
Johnson-Sanchez,2,46615.78032661191,23307.890163305954,48.5,5.0,36
Johnson-Simmons,2,20826.896696040916,10413.448348020458,23.0,30.0,36
Johnson-Simpson,2,83857.33957709583,41928.669788547915,52.0,10.5,36
Johnson-Snyder,2,89252.2123551231,44626.10617756155,35.0,17.0,36
Johnson-Stark,2,82223.03097742816,41111.51548871408,49.0,26.0,36
Johnson-Stewart,2,62465.15128258636,31232.57564129318,50.5,18.0,36
Johnson-Stone,2,64868.64193469158,32434.32096734579,33.0,22.0,36
Johnson-Strong,2,83274.07876763566,41637.03938381783,65.5,16.0,36
Johnson-Swanson,2,53060.411209347614,26530.205604673807,35.5,2.0,36
Johnson-Weber,2,71683.98204290705,35841.99102145353,79.0,19.0,36
Johnson-Welch,2,41450.316378414886,20725.158189207443,41.0,9.5,36
Johnson-Wells,2,49408.74599472817,24704.372997364084,38.5,19.0,36
Johnson-Wilson,2,78147.41211582774,39073.70605791387,56.5,11.5,36
Johnson-Wong,2,49116.68981089947,24558.344905449736,35.0,25.0,36
Johnson-Wood,2,65105.01805849171,32552.509029245855,70.0,10.0,36
Johnson-Wright,2,24013.078958253314,12006.539479126657,29.0,12.0,36
Johnston LLC,2,54423.74346566867,27211.871732834334,55.0,16.0,36
Johnston Ltd,2,19698.515367018583,9849.257683509291,39.5,4.5,36
Johnston PLC,2,39800.633384477595,19900.316692238797,34.0,24.5,36
Johnston-Hester,2,35840.08138935616,17920.04069467808,27.5,14.0,36
Johnston-Kim,2,48270.20246084038,24135.10123042019,46.0,7.0,36
Johnston-Smith,2,46934.654960203785,23467.327480101892,60.0,14.0,36
"Jones Bruce and Bell,",2,50025.160499835314,25012.580249917657,34.5,19.0,36
"Jones Ellis, Grant and",2,63432.982264262275,31716.491132131137,77.0,4.0,36
"Jones Finley Stein, and",2,92349.96997044879,46174.98498522439,69.5,8.0,36
"Jones Jennings and Christian,",2,79270.87972530445,39635.43986265222,63.0,30.0,36
"Jones Nguyen Gonzalez, and",2,84521.3625323376,42260.6812661688,68.0,8.0,36
"Jones Welch and Schmidt,",2,13271.762020769833,6635.881010384916,86.5,18.0,36
"Jones Wolfe King, and",2,86646.33020106205,43323.16510053103,53.0,24.0,36
"Jones and Hill, Medina",2,28589.796468621546,14294.898234310773,49.5,11.0,36
"Jones and Williams Roman,",2,92814.77968113199,46407.38984056599,33.0,20.0,36
"Jones, Cannon and Evans",2,75908.17016761363,37954.085083806815,19.0,27.0,36
"Jones, Cooley Anderson and",2,43025.78020485098,21512.89010242549,20.0,9.0,36
"Jones, Goodman and Davis",2,51802.877513516345,25901.438756758173,71.5,26.0,36
"Jones, Holmes Kelley and",2,58085.92365554356,29042.96182777178,59.5,1.0,36
"Jones, Mcintyre Sanchez and",2,42581.57631766588,21290.78815883294,75.0,20.0,36
"Jones, Ruiz and Glass",2,46348.19290517806,23174.09645258903,82.0,11.0,36
"Jones, Vang Blair and",2,87437.30791140898,43718.65395570449,69.5,27.0,36
"Jones, and Adams Carpenter",2,87017.42874446257,43508.71437223128,80.0,16.0,36
"Jones, and Ortiz Adams",2,54508.33859569074,27254.16929784537,36.5,15.0,36
Jones-Baker,2,99453.28308816232,49726.64154408116,24.5,7.0,36
Jones-Carter,2,13877.333074812486,6938.666537406243,40.5,18.0,36
Jones-Ellis,2,64760.59209239033,32380.296046195166,42.0,19.0,36
Jones-Fleming,2,41429.4134681404,20714.7067340702,40.5,25.0,36
Jones-Fowler,2,90320.76509270525,45160.38254635262,44.5,13.0,36
Jones-Freeman,2,23405.80722983715,11702.903614918576,67.0,11.0,36
Jones-Garza,2,91326.07454629651,45663.03727314826,79.5,16.0,36
Jones-Graham,2,45747.93102316666,22873.96551158333,57.5,23.5,36
Jones-Humphrey,2,78903.89926171732,39451.94963085866,72.5,24.0,36
Jones-Jones,2,84969.317416944,42484.658708472,51.0,16.5,36
Jones-Lee,2,58548.63149214635,29274.315746073175,59.5,16.0,36
Jones-Molina,2,62101.458043602615,31050.729021801308,53.0,5.5,36
Jones-Patel,2,26621.63798280252,13310.81899140126,82.5,9.0,36
Jones-Rios,2,54259.38807878744,27129.69403939372,70.5,14.0,36
Jones-Scott,2,45825.70517458432,22912.85258729216,35.5,14.0,36
Jones-Serrano,2,39614.05168674024,19807.02584337012,39.0,1.0,36
Jones-Thompson,2,5301.429904659153,2650.7149523295766,44.5,30.0,36
Jones-Tyler,2,81009.5802939052,40504.7901469526,58.5,16.5,36
Jones-Velazquez,2,13468.16465503447,6734.082327517235,68.5,14.0,36
Jones-Wade,2,7499.50103297346,3749.75051648673,29.0,2.0,36
Jordan LLC,2,36241.699638626116,18120.849819313058,55.5,3.0,36
"Jordan Thompson Love, and",2,50704.1387536175,25352.06937680875,82.0,30.0,36
"Jordan, Franklin and Jackson",2,19674.881596526546,9837.440798263273,65.0,1.0,36
Jordan-Gutierrez,2,45955.6937011646,22977.8468505823,73.0,18.0,36
Jordan-Harrell,2,34427.04843478223,17213.524217391114,31.5,19.0,36
Jordan-Kennedy,2,88141.10343795698,44070.55171897849,55.5,25.0,36
Jordan-Robinson,2,8401.282417903389,4200.641208951694,61.5,13.0,36
Jordan-Smith,2,52541.34171524426,26270.67085762213,30.5,14.0,36
Joseph Inc,2,52288.0185301641,26144.00926508205,45.5,11.5,36
Joyce-Meadows,2,37030.47919708016,18515.23959854008,63.0,21.0,36
Kaiser-Monroe,2,11259.457970583579,5629.728985291789,54.5,23.0,36
"Kane Porter and Robinson,",2,61437.09256166967,30718.546280834835,18.5,12.0,36
"Kane and Sandoval, Hall",2,99174.93650979246,49587.46825489623,45.0,21.0,36
"Kaufman and Thomas Diaz,",2,53843.97124880616,26921.98562440308,73.0,26.0,36
"Keith Freeman, and Orozco",2,20141.905187606568,10070.952593803284,25.5,21.0,36
Keith Inc,2,64156.16766404014,32078.08383202007,48.0,20.0,36
"Keith and Taylor, Stewart",2,69215.22470949918,34607.61235474959,83.0,6.0,36
Keith-Marquez,2,14371.073218375246,7185.536609187623,36.5,18.0,36
Keller Group,2,50447.865508521245,25223.932754260622,46.0,5.0,36
Keller LLC,2,72316.56916531261,36158.284582656306,69.0,9.5,36
Keller Ltd,2,36162.363502009124,18081.181751004562,55.5,15.0,36
Keller PLC,2,37579.16472680945,18789.582363404726,79.5,15.5,36
"Keller Small Lowe, and",2,18203.418803103435,9101.709401551718,61.5,29.0,36
"Keller Stewart, and Mcbride",2,9842.31118336567,4921.155591682835,46.5,6.0,36
Keller-Glenn,2,97674.65820452997,48837.32910226499,34.5,10.0,36
Kelley LLC,2,57834.971013987015,28917.485506993507,64.5,18.5,36
"Kelley and Abbott, Fields",2,34497.82255877428,17248.91127938714,83.0,15.0,36
Kelley-Rodriguez,2,1871.0139859884073,935.5069929942036,61.5,26.0,36
Kelly LLC,2,28862.59775928111,14431.298879640555,40.0,15.0,36
"Kelly Lara, and Watson",2,44304.763608620895,22152.381804310447,20.5,30.0,36
"Kelly Smith and Hodges,",2,11620.280337604505,5810.140168802252,41.5,24.0,36
Kelly Sons and,2,66020.30699710814,33010.15349855407,65.0,14.5,36
"Kelly, and Gomez Williams",2,6029.1317047756675,3014.5658523878337,15.5,29.0,36
Kelly-Ballard,2,18352.811629220974,9176.405814610487,32.0,11.0,36
Kelly-Hess,2,74559.1200870473,37279.56004352365,64.0,1.0,36
Kelly-Johnson,2,76524.49434855208,38262.24717427604,39.0,26.5,36
Kelly-Mercer,2,15000.185337027931,7500.092668513966,59.5,24.0,36
Kelly-Mitchell,2,91283.01843764872,45641.50921882436,19.5,3.0,36
Kelly-Phelps,2,86548.99195943258,43274.49597971629,36.0,12.0,36
Kelly-Rogers,2,62056.29850979518,31028.14925489759,49.0,17.5,36
Kelly-Taylor,2,75919.73518518322,37959.86759259161,55.5,14.0,36
Kelly-Watson,2,44064.77917348454,22032.38958674227,82.0,19.0,36
Kemp Inc,2,38221.82604721429,19110.913023607143,37.5,27.0,36
Kemp Ltd,2,63738.77166328507,31869.385831642536,42.5,17.0,36
Kemp-Baker,2,68657.39430575492,34328.69715287746,22.5,7.0,36
Kemp-Jenkins,2,33928.45516936401,16964.227584682005,19.5,28.0,36
Kemp-Munoz,2,12625.215382037048,6312.607691018524,77.5,21.0,36
Kennedy Inc,2,57834.83069130538,28917.41534565269,36.5,20.5,36
"Kennedy Long and Douglas,",2,19464.526549184393,9732.263274592196,63.5,28.0,36
"Kennedy, Graves and Scott",2,39766.256274207,19883.1281371035,29.0,13.0,36
Kennedy-Martinez,2,89707.35061917857,44853.675309589285,74.5,17.0,36
Kennedy-Smith,2,15552.863112163039,7776.431556081519,48.0,23.5,36
Kennedy-Vance,2,33464.88070901793,16732.440354508966,77.5,24.0,36
Kerr LLC,2,22499.255303161393,11249.627651580697,68.0,9.0,36
Key Inc,2,44645.57925372652,22322.78962686326,36.5,14.0,36
Key PLC,2,60681.589016965314,30340.794508482657,42.5,23.5,36
Key-Campbell,2,49206.05442286816,24603.02721143408,70.5,21.0,36
Key-Nguyen,2,47229.3428862616,23614.6714431308,45.5,17.0,36
"Khan, Phillips Baker and",2,73350.92642998387,36675.463214991934,51.5,25.0,36
"Khan, Woods Fischer and",2,94429.78341873694,47214.89170936847,44.0,28.0,36
Khan-Frye,2,11369.82716486738,5684.91358243369,76.5,7.0,36
Khan-Snow,2,14153.35232477692,7076.67616238846,32.5,18.0,36
Kidd Inc,2,13349.496310302095,6674.748155151047,50.0,20.0,36
Kim Ltd,2,54214.48662811195,27107.243314055973,26.5,14.5,36
Kim-Mitchell,2,94960.35891575701,47480.179457878505,37.5,2.0,36
Kim-Sherman,2,27040.442342243612,13520.221171121806,59.5,6.0,36
"King Carroll Tran, and",2,49916.17480303874,24958.08740151937,56.0,17.0,36
"King, Lawson Garrett and",2,67396.25657574141,33698.128287870706,18.5,12.0,36
"King, and Williams Farrell",2,35685.38837304277,17842.694186521385,71.0,9.0,36
King-Bailey,2,60072.23867158655,30036.119335793275,29.5,11.0,36
King-Baker,2,68845.24056506339,34422.620282531694,54.0,25.0,36
King-Douglas,2,84773.29284576823,42386.646422884114,56.0,25.0,36
King-Guerrero,2,97442.2626681662,48721.1313340831,72.5,25.0,36
King-Hutchinson,2,9234.409891026336,4617.204945513168,67.5,1.0,36
King-Powell,2,83843.04393752188,41921.52196876094,63.0,7.0,36
King-Quinn,2,84252.25269816766,42126.12634908383,77.0,29.0,36
King-Santiago,2,90021.65118658869,45010.82559329434,18.5,26.0,36
King-Weber,2,25756.94018020768,12878.47009010384,31.5,20.0,36
King-Wilson,2,43286.59687303934,21643.29843651967,19.5,9.5,36
Kirby Inc,2,54842.69426806853,27421.347134034266,70.0,16.0,36
Kirk Inc,2,42715.619716883084,21357.809858441542,70.5,12.5,36
Kirk Sons and,2,62614.21751766754,31307.10875883377,31.5,19.5,36
"Kirk, and Williams Ramirez",2,17182.10564833609,8591.052824168046,18.0,19.0,36
Klein LLC,2,28892.4206625565,14446.21033127825,41.5,17.0,36
Klein Ltd,2,29923.54890830533,14961.774454152664,52.5,13.5,36
"Klein and Campbell, Wall",2,82683.60748299806,41341.80374149903,33.0,23.0,36
Klein and Sons,2,52691.998897623685,26345.999448811843,83.5,8.0,36
Klein-Jones,2,31340.23086824148,15670.11543412074,52.0,10.5,36
"Kline, Davis Thomas and",2,31097.390529827753,15548.695264913877,79.5,21.0,36
Kline-Reyes,2,8624.894864280777,4312.447432140389,48.5,28.0,36
Kline-Sutton,2,38945.828625382055,19472.914312691028,75.5,4.0,36
Knapp-Ramirez,2,12334.644184312521,6167.322092156261,20.5,16.0,36
"Knight Miles White, and",2,95349.60214006396,47674.80107003198,45.5,11.0,36
"Knight, and Lucas Harrison",2,68985.35407825066,34492.67703912533,28.0,12.0,36
Knight-Rangel,2,82627.80599302365,41313.902996511824,53.5,7.0,36
Knight-Thomas,2,23363.697470280727,11681.848735140364,61.0,1.0,36
"Knox and Stewart, Valencia",2,34820.11352422785,17410.056762113923,65.0,20.0,36
Knox-Harris,2,61351.50517994434,30675.75258997217,77.5,5.0,36
Koch-Schroeder,2,78401.91001399489,39200.95500699744,55.0,13.0,36
Kramer PLC,2,74752.47656377578,37376.23828188789,71.5,18.0,36
"Kramer and Stewart Mendoza,",2,93824.5443578371,46912.27217891855,26.5,20.0,36
"Kramer, Morris Chang and",2,16671.948404383285,8335.974202191643,36.0,30.0,36
Kramer-Graham,2,37401.3573432777,18700.67867163885,72.0,2.0,36
Kramer-Hogan,2,81574.36099960115,40787.180499800575,26.5,14.0,36
"Krueger, Moody Bell and",2,16174.088146253594,8087.044073126797,19.5,2.0,36
LLC Acevedo,2,76664.11179761137,38332.05589880569,77.5,19.5,36
LLC Aguilar,2,71333.741877289,35666.8709386445,66.0,9.0,36
LLC Alvarez,2,52082.287594383524,26041.143797191762,49.5,13.0,36
LLC Armstrong,2,47397.0890706058,23698.5445353029,38.5,16.5,36
LLC Atkins,2,96774.09305896945,48387.04652948472,46.5,2.0,36
LLC Bailey,2,51579.858123707854,25789.929061853927,46.5,9.0,36
LLC Ball,2,42068.35870308006,21034.17935154003,65.0,5.5,36
LLC Bartlett,2,96508.5891422854,48254.2945711427,66.0,11.0,36
LLC Bates,2,22629.263167707126,11314.631583853563,38.0,15.5,36
LLC Bishop,2,63348.87481069705,31674.437405348526,44.5,6.0,36
LLC Blair,2,67373.90967009267,33686.95483504634,69.0,19.5,36
LLC Blake,2,37820.20991137903,18910.104955689516,37.5,19.5,36
LLC Bowman,2,33579.56248642957,16789.781243214784,64.5,6.5,36
LLC Boyd,2,37351.43339385945,18675.716696929725,64.5,3.0,36
LLC Bradley,2,73336.44884374805,36668.22442187402,32.0,17.0,36
LLC Brewer,2,67979.0711157649,33989.53555788245,25.5,27.0,36
LLC Bush,2,60560.12278131649,30280.061390658244,52.5,16.5,36
LLC Butler,2,42933.139542460936,21466.569771230468,37.5,7.5,36
LLC Cabrera,2,84401.0293099201,42200.51465496005,43.5,29.0,36
LLC Caldwell,2,47168.30383917496,23584.15191958748,38.0,19.0,36
LLC Cannon,2,5556.813406627619,2778.4067033138094,64.0,21.0,36
LLC Cantrell,2,13660.734342644562,6830.367171322281,37.5,15.5,36
LLC Castaneda,2,63034.55559599102,31517.27779799551,51.5,13.0,36
LLC Castillo,2,74126.03749286121,37063.01874643061,32.0,10.5,36
LLC Castro,2,86189.22752674535,43094.613763372676,37.5,18.5,36
LLC Charles,2,88098.63906616141,44049.31953308071,64.0,24.0,36
LLC Chen,2,46235.5460566822,23117.7730283411,75.5,16.0,36
LLC Cherry,2,39326.672610124595,19663.336305062297,24.0,16.0,36
LLC Christian,2,78222.16703134445,39111.083515672224,48.0,18.0,36
LLC Collins,2,9573.552036336067,4786.776018168033,37.5,15.5,36
LLC Colon,2,66791.05568101717,33395.527840508585,33.5,12.0,36
LLC Curry,2,33860.81564575971,16930.407822879853,45.0,12.0,36
LLC Curtis,2,20145.17792515204,10072.58896257602,45.5,5.5,36
LLC Dorsey,2,55461.378773624914,27730.689386812457,35.0,13.0,36
LLC Dunn,2,34007.79231204169,17003.896156020845,25.0,6.0,36
LLC Espinoza,2,66305.56391163713,33152.781955818566,45.5,19.5,36
LLC Fitzgerald,2,33635.19918856301,16817.599594281506,52.5,13.0,36
LLC Fletcher,2,16389.053610390063,8194.526805195032,42.5,21.0,36
LLC Foster,2,11334.055324066043,5667.027662033021,31.0,18.5,36
LLC Frank,2,66003.500163183,33001.7500815915,51.5,13.0,36
